position	t_test	mean_of_diff.mean of the differences	shapiro	sign_test	sign_test_bonferroni	wilcox_test	nb_replicates
1059	0.248541451033624	-588.363636363636	0.0492542501338829	0.01171875	0.36328125	0.0365784781679003	11
1820	0.240921310196878	-1032.1	1.25646175926236e-06	0.001953125	0.060546875	0.00588927004181748	10
1912	0.209486075117907	-1316.66666666667	6.81959606706604e-06	0.00634765625	0.19677734375	0.00368856967720821	12
3037	0.070071214431263	1264.71428571429	9.53126405117977e-08	0.0266036987304685	0.824714660644524	0.00420637593988485	21
9438	0.330993447554661	-825.8	1.39867383644928e-07	0.109375	1	0.102470434859749	10
9474	0.259471576095291	-838.25	2.97250641313435e-06	0.00634765625	0.19677734375	0.00368856967720821	12
10323	0.228941760647376	-795.230769230769	2.13089586114464e-06	0.0224609375	0.6962890625	0.00407451149723774	13
11083	0.0614773183078167	-340.561403508772	3.75171814258503e-15	0.000685564156378383	0.0212524888477299	1.90038455382981e-05	57
13402	0.23323676815403	-887.363636363636	4.85939921501016e-07	0.01171875	0.36328125	0.00647776340544465	11
15324	0.128682856461273	-1221.5	0.000103844319209538	0.75390625	1	0.474382556067802	10
16887	0.228756375898205	-925.25	1.65135310237892e-07	0.021270751953125	0.659393310546875	0.00160628997154139	16
18877	0.0971168988290248	-1896.1	0.000108714360756746	0.109375	1	0.009765625	10
19484	0.277978766727907	-131.583333333333	2.39754746502958e-06	0.0390625	1	0.0150670423121515	12
20268	0.111731377141437	-1535.4	0.000201545458624964	0.34375	1	0.102023136222155	10
21137	0.0879436777062354	-1821.78571428571	2.52723370247938e-05	0.0224609375	0.6962890625	0.00518313292290661	14
21575	0.048014817662159	-242.878787878788	1.64034561650897e-10	1.53668224811553e-08	4.76371496915815e-07	9.58469276708512e-07	33
21724	0.312469195591442	-825.909090909091	4.54728989436849e-08	0.01171875	0.36328125	0.00655777124440846	11
23403	0.170170401347947	1713.9	0.000296894925974918	0.75390625	1	1	10
24034	0.0722139529541861	-428	0.00618141388108174	0.021484375	0.666015625	0.0248385017048833	10
24933	0.177585295278946	-292.5	1.76162788412691e-05	0.3876953125	1	0.0831848780687598	12
25563	0.505366285333532	-85.4545454545455	7.22311296890161e-05	0.75390625	1	0.358639170461243	11
26681	0.144256501600368	-388.181818181818	6.44337314594762e-06	0.0009765625	0.0302734375	0.00382235372713472	11
26735	0.282265761102034	-305.636363636364	2.96585639301195e-07	1	1	0.229793921245496	11
27384	0.0718034570912043	-392.5	3.36852344993251e-05	0.012939453125	0.401123046875	0.00285794807191904	14
27964	0.340231422954581	-783.3	1.41084534379141e-07	0.34375	1	0.283876474572294	10
28077	0.169655783062157	-258.4	1.72832561883137e-05	0.0390625	1	0.014978337753425	10
28826	0.152709831344857	-319.363636363636	2.66954354608807e-06	0.001953125	0.060546875	0.00592153702414871	11
28851	0.11248106784349	-1141.30769230769	2.84832804066568e-05	0.00341796875	0.10595703125	0.00640346035312159	13
28854	0.239129120263846	-1444.4	2.30778237048827e-06	0.109375	1	0.10546875	10
29095	0.085387282860215	-537.2	0.000375382752946965	0.109375	1	0.013671875	10
29742	0.204051299046904	-360.416666666667	3.14326331228513e-05	0.7744140625	1	0.30126953125	12
